name,category,description,primary_user,status,skill_type,archetype,agent_pattern,risk_tier,action_mode,human_approval,delivery_wave,tooling_data,validation_focus,scheduled_agent
model-validation-assistant,"Data, AI & Model Governance","Support independent validation of conceptual soundness, data, performance, limitations, outcomes, controls, and monitoring; produce validation findings while the governed documentation pack is maintained separately.",Model validator / quantitative risk,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Independence, conceptual and empirical testing, data and outcome analysis, limitation and control coverage, finding traceability, separation from documentation assembly",No by default
model-risk-documenter,"Data, AI & Model Governance","Assemble controlled model and AI documentation and validation-evidence packs covering purpose, methodology, data, performance, limitations, controls, monitoring, changes, approvals, and traceability.",Model risk / validation / model owner,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, case closure, control attestation, or system-of-record change",Wave 3 — regulated casework,"Model inventory, development and validation artifacts, data lineage, tests and monitoring, limitations, changes, findings, approvals and documentation templates","Artifact and version completeness, source-to-document traceability, methodology and limitation coverage, finding/approval consistency, no false attestation",No by default
model-change-impact-analyzer,"Data, AI & Model Governance","Assess proposed model or agent changes for scope, data, tools, behavior, controls, testing, users, regulatory impact, and revalidation needs.",Model owner / change governance / validator,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
data-lineage-documenter,"Data, AI & Model Governance","Document end-to-end data lineage, transformations, controls, owners, quality rules, retention, and source-to-output dependencies.",Data governance / data engineering / control owner,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
data-quality-issue-investigator,"Data, AI & Model Governance","Profile data defects, trace upstream causes, quantify impact, identify affected decisions and reports, and manage remediation evidence.",Data steward / data-quality analyst,new,Analysis and evaluation skills,Investigate & casework,Case agent + evidence bundle,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Entity resolution, evidence completeness, chronology, disposition consistency, reviewer agreement",No by default
prompt-and-agent-risk-reviewer,"Data, AI & Model Governance","Review prompts, instructions, memory, tools, retrieval, guardrails, failure modes, prompt-injection exposure, and prohibited behavior.",AI security / AI governance / skill owner,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 1 — platform controls,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
agent-permission-scope-reviewer,"Data, AI & Model Governance","Map every tool and operation to user need, data classification, least privilege, approval mode, logging, segregation, and revocation.",IAM / AI governance / security architecture,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 1 — platform controls,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
ai-evaluation-benchmark-builder,"Data, AI & Model Governance","Create representative task, trigger, regression, safety, robustness, latency, and cost evaluations with baselines and acceptance thresholds.",AI evaluation / quality engineering / domain SME,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 1 — platform controls,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
ai-incident-investigator,"Data, AI & Model Governance","Investigate harmful, incorrect, unauthorized, biased, privacy, security, or resilience events; preserve evidence and coordinate remediation.",AI incident response / model risk / compliance,new,Analysis and evaluation skills,Investigate & casework,Case agent + evidence bundle,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Entity resolution, evidence completeness, chronology, disposition consistency, reviewer agreement",No by default
third-party-ai-due-diligence-assistant,"Data, AI & Model Governance","Assess external AI providers, models, data, subcontractors, concentration, controls, contractual rights, testing, resilience, and exit plans.",Third-party risk / procurement / AI governance,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 1 — platform controls,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
agent-audit-trail-reviewer,"Data, AI & Model Governance","Review agent prompts, retrieved sources, tool calls, approvals, outputs, overrides, and retention for reproducibility and control effectiveness.",Internal audit / compliance monitoring / AI governance,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
enterprise-meeting-preparer,Enterprise Functions & Technology,"Prepare an internal meeting brief using approved calendar, email, files, decisions, stakeholders, risks, and prior actions.",Executive / manager / knowledge worker,new,Artifact-creation skills,Draft & package,Interactive production copilot,R1 — informational,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — low-risk productivity,"Email/calendar, documents, contracts, procurement, knowledge systems, project tracking, developer tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
meeting-action-tracker,Enterprise Functions & Technology,"Extract decisions, owners, due dates, dependencies, and open questions from meetings; draft updates and reminders without changing systems silently.",Project manager / meeting owner,new,Artifact-creation skills,Draft & package,Interactive production copilot,R1 — informational,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — low-risk productivity,"Email/calendar, documents, contracts, procurement, knowledge systems, project tracking, developer tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
policy-document-assistant,Enterprise Functions & Technology,"Draft, compare, explain, and maintain controlled policies and procedures using approved requirements, owners, versioning, and review cycles.",Policy owner / legal / compliance / operations,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Email/calendar, documents, contracts, procurement, knowledge systems, project tracking, developer tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
contract-obligation-extractor,Enterprise Functions & Technology,"Extract obligations, dates, service levels, rights, restrictions, renewals, data terms, and dependencies with clause-level citations.",Legal operations / procurement / business owner,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Email/calendar, documents, contracts, procurement, knowledge systems, project tracking, developer tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
procurement-sourcing-assistant,Enterprise Functions & Technology,"Prepare requirements, market scans, evaluation criteria, RFP content, bidder comparisons, risk inputs, and decision records.",Procurement / business sponsor / technology,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Email/calendar, documents, contracts, procurement, knowledge systems, project tracking, developer tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
board-committee-pack-builder,Enterprise Functions & Technology,"Assemble a controlled board or committee pack with decisions, metrics, risks, issues, sources, approvals, and concise page takeaways.",Corporate secretary / executive office / risk,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Email/calendar, documents, contracts, procurement, knowledge systems, project tracking, developer tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
knowledge-base-curator,Enterprise Functions & Technology,"Identify stale, duplicate, conflicting, or missing knowledge; draft updates, ownership actions, metadata, and retirement recommendations.",Knowledge manager / operations / technology,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Email/calendar, documents, contracts, procurement, knowledge systems, project tracking, developer tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
fsi-skill-authoring-assistant,Enterprise Functions & Technology,"Create and validate FSI Agent Skills from approved domain artifacts, templates, controls, tools, and evaluations; never publish without owner approval.",FSI skill engineer / product owner / developer,new,Utility skills,Draft & package,Skill engineering copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — platform controls,"Email/calendar, documents, contracts, procurement, knowledge systems, project tracking, developer tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
